,Date,O,H,L,C,Volume,Market Cap,trendIndex,O -1,H -1,L -1,C -1,Volume -1,Market Cap -1,trendIndex -1,O -2,H -2,L -2,C -2,Volume -2,Market Cap -2,trendIndex -2,O -3,H -3,L -3,C -3,Volume -3,Market Cap -3,trendIndex -3,O -4,H -4,L -4,C -4,Volume -4,Market Cap -4,trendIndex -4,O -5,H -5,L -5,C -5,Volume -5,Market Cap -5,trendIndex -5,O -6,H -6,L -6,C -6,Volume -6,Market Cap -6,trendIndex -6,O -7,H -7,L -7,C -7,Volume -7,Market Cap -7,trendIndex -7,O -8,H -8,L -8,C -8,Volume -8,Market Cap -8,trendIndex -8,O -9,H -9,L -9,C -9,Volume -9,Market Cap -9,trendIndex -9,O -10,H -10,L -10,C -10,Volume -10,Market Cap -10,trendIndex -10
0,06/04/18,7722.53,7753.82,7474.04,7514.47,4993170000,131847000000,15.0,90.4399999999996,-1.0700000000006185,-139.0,-205.77999999999975,141410000.0,1559000000.0,4.0,185.8099999999995,57.98999999999978,-23.220000000000255,-128.97999999999956,53870000.0,3202000000.0,6.0,221.82999999999993,149.09000000000015,66.69999999999982,-26.979999999999563,71710000.0,3833000000.0,3.0,316.3800000000001,144.92000000000007,112.90999999999985,20.300000000000182,-133960000.0,5461000000.0,7.0,252.80000000000018,180.04999999999927,160.4399999999996,107.94999999999982,70630000.0,4393000000.0,8.0,593.0699999999997,227.39999999999964,383.3599999999997,41.88000000000011,-669490000.0,10211000000.0,-1.0,351.21999999999935,334.7699999999995,373.14999999999964,378.4800000000005,-47430000.0,6099000000.0,8.0,360.4499999999998,372.0799999999999,203.07999999999993,146.25,936650000.0,6272000000.0,6.0,236.05000000000018,158.65999999999985,124.92000000000007,158.59000000000015,941630000.0,4165000000.0,-5.0,130.22999999999956,94.67999999999938,81.39000000000033,34.32999999999993,125340000.0,2377000000.0,4.0
1,06/03/18,7632.09,7754.89,7613.04,7720.25,4851760000,130288000000,11.0,95.36999999999989,59.0600000000004,115.77999999999975,76.80000000000018,-87540000.0,1643000000.0,2.0,131.39000000000033,150.16000000000076,205.69999999999982,178.80000000000018,-69700000.0,2274000000.0,-1.0,225.9400000000005,145.9900000000007,251.90999999999985,226.07999999999993,-275370000.0,3902000000.0,3.0,162.36000000000058,181.1199999999999,299.4399999999996,313.72999999999956,-70780000.0,2834000000.0,4.0,502.6300000000001,228.47000000000025,522.3599999999997,247.65999999999985,-810900000.0,8652000000.0,-5.0,260.77999999999975,335.84000000000015,512.1499999999996,584.2600000000002,-188840000.0,4540000000.0,4.0,270.0100000000002,373.15000000000055,342.0799999999999,352.02999999999975,795240000.0,4713000000.0,2.0,145.61000000000058,159.73000000000047,263.9200000000001,364.3699999999999,800220000.0,2606000000.0,-9.0,39.789999999999964,95.75,220.39000000000033,240.10999999999967,-16070000.0,818000000.0,0.0,70.97000000000025,16.289999999999964,281.89999999999964,132.90999999999985,-1197460000.0,1363000000.0,1.0
2,06/02/18,7536.72,7695.83,7497.26,7643.45,4939300000,128645000000,9.0,36.02000000000044,91.10000000000036,89.92000000000007,102.0,17840000.0,631000000.0,-3.0,130.57000000000062,86.93000000000029,136.1300000000001,149.27999999999975,-187830000.0,2259000000.0,1.0,66.99000000000069,122.05999999999949,183.65999999999985,236.92999999999938,16760000.0,1191000000.0,2.0,407.2600000000002,169.40999999999985,406.5799999999999,170.85999999999967,-723360000.0,7009000000.0,-7.0,165.40999999999985,276.77999999999975,396.3699999999999,507.46000000000004,-101300000.0,2897000000.0,2.0,174.64000000000033,314.09000000000015,226.30000000000018,275.22999999999956,882780000.0,3070000000.0,0.0,50.24000000000069,100.67000000000007,148.14000000000033,287.5699999999997,887760000.0,963000000.0,-11.0,-55.57999999999993,36.6899999999996,104.61000000000058,163.3099999999995,71470000.0,-825000000.0,-2.0,-24.399999999999636,-42.77000000000044,166.1199999999999,56.10999999999967,-1109920000.0,-280000000.0,-1.0,-500.3599999999997,-358.8299999999999,-10.61999999999989,85.63000000000011,-1551820000.0,-8379000000.0,2.0
3,06/01/18,7500.7,7604.73,7407.34,7541.45,4921460000,128014000000,12.0,94.55000000000018,-4.170000000000073,46.210000000000036,47.279999999999745,-205670000.0,1628000000.0,4.0,30.970000000000255,30.959999999999127,93.73999999999978,134.92999999999938,-1080000.0,560000000.0,5.0,371.2399999999998,78.30999999999949,316.65999999999985,68.85999999999967,-741200000.0,6378000000.0,-4.0,129.38999999999942,185.67999999999938,306.4499999999998,405.46000000000004,-119140000.0,2266000000.0,5.0,138.6199999999999,222.98999999999978,136.3800000000001,173.22999999999956,864940000.0,2439000000.0,3.0,14.220000000000255,9.569999999999709,58.220000000000255,185.5699999999997,869920000.0,332000000.0,-8.0,-91.60000000000036,-54.410000000000764,14.69000000000051,61.30999999999949,53630000.0,-1456000000.0,1.0,-60.42000000000007,-133.8700000000008,76.19999999999982,-45.89000000000033,-1127760000.0,-911000000.0,2.0,-536.3800000000001,-449.9300000000003,-100.53999999999996,-16.36999999999989,-1569660000.0,-9010000000.0,5.0,-919.170000000001,-818.5200000000004,-597.2399999999998,-500.3299999999999,-215550000.0,-15520000000.0,5.0
4,05/31/18,7406.15,7608.9,7361.13,7494.17,5127130000,126386000000,8.0,-63.57999999999993,35.1299999999992,47.529999999999745,87.64999999999964,204590000.0,-1068000000.0,1.0,276.6899999999996,82.47999999999956,270.4499999999998,21.579999999999927,-535530000.0,4750000000.0,-8.0,34.839999999999236,189.84999999999945,260.2399999999998,358.1800000000003,86530000.0,638000000.0,1.0,44.06999999999971,227.15999999999985,90.17000000000007,125.94999999999982,1070610000.0,811000000.0,-1.0,-80.32999999999993,13.739999999999782,12.010000000000218,138.28999999999996,1075590000.0,-1296000000.0,-12.0,-186.15000000000055,-50.24000000000069,-31.519999999999527,14.029999999999745,259300000.0,-3084000000.0,-3.0,-154.97000000000025,-129.70000000000073,29.98999999999978,-93.17000000000007,-922090000.0,-2539000000.0,-2.0,-630.9300000000003,-445.7600000000002,-146.75,-63.649999999999636,-1363990000.0,-10638000000.0,1.0,-1013.7200000000012,-814.3500000000004,-643.4499999999998,-547.6099999999997,-9880000.0,-17148000000.0,1.0,-1116.1800000000003,-948.6200000000008,-1003.9900000000007,-924.8199999999997,-27860000.0,-18878000000.0,0.0
5,05/30/18,7469.73,7573.77,7313.6,7406.52,4922540000,127454000000,7.0,340.2699999999995,47.350000000000364,222.92000000000007,-66.06999999999971,-740120000.0,5818000000.0,-9.0,98.41999999999916,154.72000000000025,212.71000000000004,270.53000000000065,-118060000.0,1706000000.0,0.0,107.64999999999964,192.03000000000065,42.64000000000033,38.30000000000018,866020000.0,1879000000.0,-2.0,-16.75,-21.389999999999418,-35.51999999999953,50.64000000000033,871000000.0,-228000000.0,-13.0,-122.57000000000062,-85.36999999999989,-79.04999999999927,-73.61999999999989,54710000.0,-2016000000.0,-4.0,-91.39000000000033,-164.82999999999993,-17.539999999999964,-180.8199999999997,-1126680000.0,-1471000000.0,-3.0,-567.3500000000004,-480.8899999999994,-194.27999999999975,-151.29999999999927,-1568580000.0,-9570000000.0,0.0,-950.1400000000012,-849.4799999999996,-690.9799999999996,-635.2599999999993,-214470000.0,-16080000000.0,0.0,-1052.6000000000004,-983.75,-1051.5200000000004,-1012.4699999999993,-232450000.0,-17810000000.0,-1.0,-777.2600000000002,-988.6399999999994,-891.6399999999994,-1106.7299999999996,-268520000.0,-13102000000.0,-1.0
6,05/29/18,7129.46,7526.42,7090.68,7472.59,5662660000,121636000000,16.0,-241.85000000000036,107.36999999999989,-10.210000000000036,336.60000000000036,622060000.0,-4112000000.0,9.0,-232.6199999999999,144.6800000000003,-180.27999999999975,104.36999999999989,1606140000.0,-3939000000.0,7.0,-357.0199999999995,-68.73999999999978,-258.4399999999996,116.71000000000004,1611120000.0,-6046000000.0,-4.0,-462.84000000000015,-132.72000000000025,-301.96999999999935,-7.550000000000182,794830000.0,-7834000000.0,5.0,-431.65999999999985,-212.1800000000003,-240.46000000000004,-114.75,-386560000.0,-7289000000.0,6.0,-907.6199999999999,-528.2399999999998,-417.1999999999998,-85.22999999999956,-828460000.0,-15388000000.0,9.0,-1290.4100000000008,-896.8299999999999,-913.8999999999996,-569.1899999999996,525650000.0,-21898000000.0,9.0,-1392.87,-1031.1000000000004,-1274.4400000000005,-946.3999999999996,507670000.0,-23628000000.0,8.0,-1117.5299999999997,-1035.9899999999998,-1114.5599999999995,-1040.6599999999999,471600000.0,-18920000000.0,8.0,-1126.2699999999995,-845.6399999999994,-1092.67,-774.5900000000001,950260000.0,-19053000000.0,7.0
7,05/28/18,7371.31,7419.05,7100.89,7135.99,5040600000,125748000000,7.0,9.230000000000473,37.3100000000004,-170.0699999999997,-232.23000000000047,984080000.0,173000000.0,-2.0,-115.16999999999916,-176.10999999999967,-248.22999999999956,-219.89000000000033,989060000.0,-1934000000.0,-13.0,-220.98999999999978,-240.09000000000015,-291.7599999999993,-344.15000000000055,172770000.0,-3722000000.0,-4.0,-189.8099999999995,-319.5500000000002,-230.25,-451.35000000000036,-1008620000.0,-3177000000.0,-3.0,-665.7699999999995,-635.6099999999997,-406.9899999999998,-421.8299999999999,-1450520000.0,-11276000000.0,0.0,-1048.5600000000004,-1004.1999999999998,-903.6899999999996,-905.79,-96410000.0,-17786000000.0,0.0,-1151.0199999999995,-1138.4700000000003,-1264.2300000000005,-1283.0,-114390000.0,-19516000000.0,-1.0,-875.6799999999994,-1143.3599999999997,-1104.3499999999995,-1377.2600000000002,-150460000.0,-14808000000.0,-1.0,-884.4199999999992,-953.0099999999993,-1082.46,-1111.1900000000005,328200000.0,-14941000000.0,-2.0,-720.5199999999995,-855.0700000000006,-873.9299999999994,-1114.9799999999996,-723590000.0,-12133000000.0,-2.0
8,05/27/18,7362.08,7381.74,7270.96,7368.22,4056520000,125575000000,9.0,-124.39999999999964,-213.42000000000007,-78.15999999999985,12.340000000000146,4980000.0,-2107000000.0,-11.0,-230.22000000000025,-277.40000000000055,-121.6899999999996,-111.92000000000007,-811310000.0,-3895000000.0,-2.0,-199.03999999999996,-356.8600000000006,-60.18000000000029,-219.1199999999999,-1992700000.0,-3350000000.0,-1.0,-675.0,-672.9200000000001,-236.92000000000007,-189.59999999999945,-2434600000.0,-11449000000.0,2.0,-1057.7900000000009,-1041.5100000000002,-733.6199999999999,-673.5599999999995,-1080490000.0,-17959000000.0,2.0,-1160.25,-1175.7800000000007,-1094.1600000000008,-1050.7699999999995,-1098470000.0,-19689000000.0,1.0,-884.9099999999999,-1180.67,-934.2799999999997,-1145.0299999999997,-1134540000.0,-14981000000.0,1.0,-893.6499999999996,-990.3199999999997,-912.3900000000003,-878.96,-655880000.0,-15114000000.0,0.0,-729.75,-892.380000000001,-703.8599999999997,-882.7499999999991,-1707670000.0,-12306000000.0,0.0,-1007.9699999999993,-1063.800000000001,-783.1599999999999,-726.0999999999995,-1806010000.0,-17033000000.0,-3.0
9,05/26/18,7486.48,7595.16,7349.12,7355.88,4051540000,127682000000,20.0,-105.82000000000062,-63.98000000000047,-43.529999999999745,-124.26000000000022,-816290000.0,-1788000000.0,9.0,-74.64000000000033,-143.4400000000005,17.979999999999563,-231.46000000000004,-1997680000.0,-1243000000.0,10.0,-550.6000000000004,-459.5,-158.76000000000022,-201.9399999999996,-2439580000.0,-9342000000.0,13.0,-933.3900000000012,-828.0900000000001,-655.46,-685.8999999999996,-1085470000.0,-15852000000.0,13.0,-1035.8500000000004,-962.3600000000006,-1016.0000000000009,-1063.1099999999997,-1103450000.0,-17582000000.0,12.0,-760.5100000000002,-967.25,-856.1199999999999,-1157.37,-1139520000.0,-12874000000.0,12.0,-769.25,-776.8999999999996,-834.2300000000005,-891.3000000000002,-660860000.0,-13007000000.0,11.0,-605.3500000000004,-678.960000000001,-625.6999999999998,-895.0899999999992,-1712650000.0,-10199000000.0,11.0,-883.5699999999997,-850.380000000001,-705.0,-738.4399999999996,-1810990000.0,-14926000000.0,8.0,-1017.9300000000003,-913.2700000000004,-826.3699999999999,-1012.9499999999998,-2708680000.0,-17196000000.0,13.0
